autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
ICAROCIPO,"Salvador, BA","É o parque mais incrível que já visitei em Curitiba. Muita gente bonita, principalmente em dias de sol. ",Feita em 16 de setembro de 2019,Top
Felipe T,"Lagarto, SE","Ideal para prática de exercícios físicos, como caminhada, corrida, andar de bicicleta ou um passeio com o seu cão. O local também é recomendado para quem pretende fazer um piquenique com os amigos. Porém, se seu tempo é curto em Curitiba, recomendo visitar outros lugares como Jardim Botânico, Ópera de Arame, Parque Tanguá, Memorial Ucraniano... O parque Birigui é agradável e bonito, mas nada acima da média, em caso de tempo escasso, dê preferência aos locais citados.",Feita em 11 de setembro de 2019,Ótimo para prática de exércicios físicos
Jaqueline Cengia Ribas,"Curitiba, PR","O Parque Barigui é um dos belos cartões de visita de Curitiba, lugar de fácil acesso que conta com uma extensa área verde, com lagos, ótimo percurso para caminhadas e passeios, reunir a familia e amigos para um picnic ou um churrasco. O lugar também conta com bares, lanchonetes e restaurantes. Ponto de encontro do curitibanos.",Feita em 10 de setembro de 2019,O Parque Barigui cartão de visita de Curitiba.
RosemaryFSilva,"Niterói, RJ","O parque é um orgulho para os curitibanos. A área é enorme e o parque é realmente muito bonito. Além de área para passeios, caminhadas, churrasco em família e várias atividades, tem também 02 restaurantes. ",Feita em 9 de setembro de 2019,Muito bonito
mirosamk,"Curitiba, PR","muito bonito,tem parque diversão, tem exposição,tem churrasqueira, tem trilha, academia ao ar livre, bares, lanchonetes, lugar para caminhar, pedalar,patinar, correr, fazer piqui nique.",Feita em 9 de setembro de 2019,parque na cidade
Juarez G,"Curitiba, PR","Esse parque também é imperdível sua visita é bem extenso e bom para caminhadas, e também onde as famílias fazem seu churrasco, é só trazer as carnes.",Feita em 8 de setembro de 2019,POINT DOS CURITIBANOS
Renatha R,78 contribuições,"Nossa visita ocorreu na manhã de 31/08, que foi um dia especialmente ensolarado o que tornou nossa visita extremamente agradável. ",Feita em 7 de setembro de 2019,Dia delicioso com amigos no parque
Ricardo L. F. Correa,"Curitiba, PR","O parque tem uma grande área verde, com lago e capivaras soltas, é bem extenso e ótimo para fazer caminhadas, pois tem 3 pistas, 1 para caminhada, 1 para corrida e 1 para bike ou patinete (pena que o povo é ignorante e sem empatia, logo muitos não respeitam isso e dias lotados é bem tumultuado). Tome cuidado para não ser atropelado, ou ter um filho pequeno atropelado, por nenhuma pessoa sem noção disparado de patinete ou roller.",Feita em 6 de setembro de 2019,Excelente para caminhada quando não está lotado
Susy L,"Curitiba, PR","Adoro ir ao  Parque Barigui.  Ótimo para caminhadas com trilha com mais de 5 km em volta do lago. Há uma trilha dentro da mata, onde se pode observar a vegetação nativa e macaquinhos que habitam por lá. ",Feita em 5 de setembro de 2019,Natureza
Wagner M,"Curitiba, PR","Parque perfeito para um passeio em família, sem falar da ótima infraestrutura, segurança e paisagem do lugar. ",Feita em 5 de setembro de 2019,Mistura de Paisagens
Rodrigo M,4 contribuições,"Parque limpo, organizado e ideal para descansar e fazer caminhadas ao ar livre. Muito bom! Pretendo voltar sempre que visitar a cidade.",Feita em 4 de setembro de 2019,Um dos melhores parques que já visitei no Brasil
Laura M,OSÓRIO,"O parque é enorme, com lindos gramados para sentar, deitar. Tem aluguel de bike e patinete, pistas de corrida, bike e caminhada. Vale a pena ir lá.",Feita em 4 de setembro de 2019,LINDO PARQUE
Connector817104,3 contribuições,"Só tem um defeito esse parque. Existe enormes espáços onde você não consegue comparar uma água. Um enorme e lindo lugar, más falta quioskes, lanchonetes para vender suco, agua...o cara vai ai, e tem que caminhar 2 kilometros pra acha uma lanchonete,,, ninguém merece!",Feita em 4 de setembro de 2019,Parque Bariguí exelente lugar
_HESOTOS_,"Curitiba, PR","O ponto turístico mais conhecido da cidade, repleto do seu verde com a harmonia dos luxuosos construções ao seu redor, possui em seu anexo um centro de convenções, pista de caminhada, seguro, com policiamento, uma área de lazer para toda a família, pode praticar todo tipo de esporte, em dias de chuvas, deve evitar essa região, devido ao seu lago imenso que fica acima do nível neste caso, possui em sua fauna, a capivara, o mascote da cidade, há rumores de um jacaré habitando neste lago, muitas especies de aves. Um amplo estacionamento, tem um quiosque para alugar sua bicicleta, para se hidratar em dia de calor, possui vários pontos de venda de água de coco e caldo de cana.",Feita em 2 de setembro de 2019,BERÇO DA BIODIVERSIDADE
rodrigoefc,Lins,"Ambiente muito bem cuidado, cheio de pessoas realizando atividades externas, eventos e etc. Visita obrigatória em Curitiba.",Feita em 2 de setembro de 2019,Sensacional
Cintia Naiara,"Campo Grande, MS","Eu amei esse parque, tem mtas coisas pra ver e fazer, é bem família, propício pra esportes, tem um shopping na frente. As yellows fazem a festa, pq vc pode peladar o parque todo ",Feita em 1 de setembro de 2019,Esportes e lazer 
Afonsoccr,"Santos Dumont, MG","O parque é um dos vários da capital paranaense, e tal qual seu colegas, é bem cuidado e oferece um respiro para os ares da cidade grande e agitada. Possui um lago e áreas verdes amplas, além de uma infra estrutura que dá ao visitante o necessário para que tenha momentos agradáveis.",Feita em 20 de agosto de 2019,Área verde de lazer 
Lizz,"Curitiba, PR","Um dos melhores e mais lindos parques de Curitiba, perfeito para lazer, passeios em família e diversão garantida para a criançada! ",Feita em 19 de agosto de 2019,Unico!
Carla S,"São Paulo, SP","Impressionou-me pela organização, há pista para quem anda de bicicleta, pista para quem corre e pista para quem caminha. O parque é lindo!",Feita em 17 de agosto de 2019,Lindo e organizado
salesa2018,"Curitiba, PR","Um dos parques mais bonitos da cidade, se não for o mais bonito, local onde gosto de ir e levar amigos e familiares que vem de fora, lugar de muita paz e tranquilidade, com seus peixes capivaras e pessoas de todos os tipos circulando por lá.",Feita em 13 de agosto de 2019,LAZER
Adriana,"Niterói, RJ","Lugar maravilhoso para uma caminhada, brincar com as crianças, correr e se sentir conectado à natureza. Além da linda vista, o parque possui pista para caminhada e para bicicleta e também aparelhos para ginástica. Excelente lugar para relaxar e pedalar. Possui bicicletas da Yellow ao longo do parque. Muito bom. Senti-me renovada.",Feita em 8 de agosto de 2019,Lugar acolhedor
Simone A,"Blumenau, SC","O parque tem uma ótima pista de caminhada/corrida, com 5km de extensão, facilitando a vida dos atletas que desejam treinar. O visual é incrível. Facilidades como estacionamento, banheiro, restaurante. Também é um lugar lindo para pedalar e passear com a família. Tem um lago central maravilhoso de onde se vê o nascer ou o pôr do sol, dependendo do horário que você vá.",Feita em 7 de agosto de 2019,Lindo e ideal para esportes
Viaje com a Belle,63 contribuições,"Bonito. Mas há parques mais bonitos que ele. Não há muito o que se ver. Fui em um dia de chuva, mas a beleza continuou a mesma! Se tiver tempo livre, vá conhecer. Caso contrário, opte por outros parques. Se for com a linha turismo, não desça nele.. perde muito tempo.",Feita em 7 de agosto de 2019,Bonito 
Marcos G,30 contribuições,"Um passeio muito bom, lugar tranquilo, menos com tempo chuvoso, pois ocorrem áreas de alagamento. Pistas de caminhada em boas condições, lugar seguro e agradável",Feita em 6 de agosto de 2019,Um passeio no parque
Rosemeire Z,"São Paulo, SP","Foi muito gratificante conhecer esse parque, aliás todos os que visitei em Curitiba, é um lindo lugar, perfeito para caminhar, correr, pedalar ou simplesmente relaxar curtindo a bela natureza. Dei uma volta completa no parque, final de tarde e dia de semana, estava bem movimentado. Gostei da separação dos caminhos, um para correr/caminhar e outro pra pedalar, também do grande lago, o verde, as garças, a limpeza, foi um agradável passeio.",Feita em 3 de agosto de 2019,Imenso 
Raphael P,"Colatina, ES",O local é ideal para dar um bela caminhada e contemplar a natureza . O parque fica próximo da cidade e de fácil localização.,Feita em 3 de agosto de 2019,Ideal para dar uma caminhada
Larissa S,"Curitiba, PR","o parque Barigui é o melhor parque de Curitiba! Bom para todos os gostos e todosos públicos. ambiente agradável, espaço super limpo e sempre tem algum evento atrativo.",Feita em 30 de julho de 2019,melhor parque!
CrisHilgenberg,"Curitiba, PR",Adoro o parque Barigui! ,Feita em 30 de julho de 2019,O melhor parque de Curitiba 
Beatriz BaCout,14 contribuições,"Leve repelente, e prepare a caminhada. Também tem que levar comida ou lanche, pois nem dentro nem ao redor tem locais bons para refeição. O açaí em frente é caro e o atendimento é péssimo. ",Feita em 29 de julho de 2019,Bonito mas com muitos mosquitos
Luiz Henrique,"Belo Horizonte, MG","Oferece opções de lazer e esportes e um amplo espaço urbano arborizado e com lagos. Pistas de corrida, patinação, academia ao ar livre e uma ambulante que serve delicioso caldo de cana com limão.",Feita em 28 de julho de 2019,Parque urbano esportivo
Livia Dickson,"Ananindeua, PA","Ótimo lugar para caminhar, correr, pedalar... praticar esportes.",Feita em 27 de julho de 2019,Bonito
Daniela P,"Petrópolis, RJ","Ótimo para fazer caminhadas, corridas, andar de patinete e bicicleta (é possível alugar no local). Mas não é um parque com uma vista extraordinária, não sendo tão turístico quanto outros parques de Curitiba ",Feita em 27 de julho de 2019,"Visita esportiva, não é tanto turístico "
Sampa7778,"Campinas, SP","Espaço formidável onde muita gente se encontra para especialmente fazer atividades físicas. Muitas bicicletas, skates e patinetes. Vale muito a pena",Feita em 27 de julho de 2019,Lindo
Thefiorenza,"Viamão, RS","O parque possui um lago onde vive um grupo de capivaras o que é bem interessante em uma cidade grande, outra é a pista de caminhada, corrida e ciclovia que contornam o parque",Feita em 23 de julho de 2019,Parque das capivaras
Luis Fernando P,"São Paulo, SP","Com um visual muito bonito do nascer do sol, o parque tem estacionamento facíl e boa estrutura para a pratica de esportes.",Feita em 21 de julho de 2019,Treino no parque
patriciacantuaria,"Santos, SP",Passeamos lá em um domingo de sol e foi onde menos encontramos turistas e mais curitibanos com suas famílias e bichos. Muito bonito e as capivaras realmente ficam pertinho de você. Vale a pena conhecer.,Feita em 19 de julho de 2019,Realmente o preferido dos curitibanos
ErikinhaPinda,"Pindamonhangaba, SP","O Parque é cortado pelo rio Barigui e é bem procurado para para fazer caminhadas, andar de bicicleta (você pode alugar as bikeS da Yellow), patins, além de um excelente lugar para fazer piquenique ou ficar de bobeira...",Feita em 19 de julho de 2019,Perfeito para atividades ao ar livre
Edson Pertile,"Cuiabá, MT","Parque bem cuidado, limpo e tranquilo. Para a molecada existe a opção de patinetes elétricos vale a pena deixar eles se divertirem, mas com a recomendação de NÃO ABUSAR DA VELOCIDADE.",Feita em 19 de julho de 2019,Patinete e diversão
Sergiocordeirotj,"Tijucas, SC","Um dos lugares mais procurados pelos moradores nos dias em que o sol decide aparecer. O parque é cortado pelo rio Barigui e tem um lago que oferece um lindo cenário para o entardecer. Quem for ao parque encontrará restaurante, pavilhão de exposições, o Museu do Automóvel, academia de ginástica, pista de cooper e patinação, ciclovia e churrasqueiras. A entrada é gratuita.",Feita em 15 de julho de 2019,Perfeito
RoLamers,"Curitiba, PR","O Parque Barigui é um dos mais famosos de Curitiba. Excelente lugar para fazer caminhadas, andar de bicicleta, patins, skate. Nos Domingos de sol, muita gente leva seus filhos para brincar e  fazem pequiniques. É um local bonito, com Lago, arborizado, excelente para passear e conhecer.",Feita em 15 de julho de 2019,Excelente para caminhadas
Luciane Simionato,"Curitiba, PR",Qual curitibano não ama caminhar ou correr pelo parque Barigui?,Feita em 14 de julho de 2019,Caminhadas diárias
Carol C,"Rio de Janeiro, RJ","Um excelente local para respirar ar puro, passear pela grama, fazer um piquenique, levar crianças e animais de estimação.",Feita em 12 de julho de 2019,Maravilhoso!
regina h,"Curitiba, PR","Lagos  área verde, pista de caminhada e corrida,  local para alinhamento. possesso quiosques com água de Coco e caldo de cana feitos na hora. Grandes gramados, para crianças brincarem, restaurante dentro. Tem banheiros churrasqueiras públicas. ",Feita em 11 de julho de 2019,Parque maravilhoso
PriscilaDantas,"São Paulo, SP","Eu adorei, fui dois dias no parque,  pista de corrida ótima para quem gosta de correr a volta tem 5.350 mts. tranquilo muito bonito e bem conservado. Pertinho do centro.",Feita em 10 de julho de 2019,ótimo para pratica de esportes
Luize Fernandes,"Montevidéu, Uruguai","Estive pela primeira vez em Curitiba e depois de conhecer todos os pontos turísticos, este foi o único que retornamos! Lindo demais e excelente para frequentar sozinho, em casal ou com a família. Ambiente incrível! ",Feita em 9 de julho de 2019,O melhor parque de Curitiba!
Pelomundoeuvou,"Vitória, ES","Natureza em meio a cidade. Fica ao lado do Park Shopping Barigui. É o maior parque verde de Curitiba. Tem muitas capivara, pista de caminhada,e excelente pra família.",Feita em 3 de julho de 2019,Lindo!
Roselaine G,9 contribuições,"Parque Barigui é maravilhoso. Com pista para caminhadas, corridas e passeio de bikes separados. Local ideal para ir com amigos, familia, namorar, fazer picnic e relaxar",Feita em 3 de julho de 2019,É o melhor e maior parque de Curitiba
Adi S,"Curitiba, PR","Local tranquilo para passear, fazer exercícios e até para um dia de churrasco ao ar livre com a familia.",Feita em 2 de julho de 2019,Excelente Parque de Lazer
neidelouratriz,SAO PAULO,"Um lugar cheio de paz e tranquilidade onde você é acompanhado por capivaras descansando no gramado! Tem pista e locação de bike e patinete! Uma ótima estrutura em um lugar lindo, tem 2 opções de restaurantes e play para as crianças. Super recomendo!",Feita em 2 de julho de 2019,Lugar perfeito para contemplar a natureza!
fkwbr3,"São Bernardo do Campo, SP","Ótimo para caminhar, pedalar ou simplesmente ficar contemplando a paisagem. Muitos locais (gramados) para sentar e relaxar.",Feita em 2 de julho de 2019,Vale a visita
Gabriel C,3 contribuições,"Excelente local para passear com a família, ou a sós mesmo.",Feita em 2 de julho de 2019,Praia dos curitibanos em dia de Sol
Leandro,"Praia da Pipa, RN","Foi um domingo de sol, em um local com muitas famílias, muitas crianças, bicicletas, patinetes. Um belo passeio!!!",Feita em 2 de julho de 2019,Bonito
José Roberto,9 contribuições,"Parque Barigui é muito lindo, faço minhas caminhadas 3 vezes por semana lá, segurança está boa, minha reclamação e de todos que usufruem do parque são os banheiros, um absurdo não ter um banheiro disponível após as 18hs.",Feita em 2 de julho de 2019,Caminhadas ao ar livre
camilagz,19 contribuições,"lugar lindo natureza lugar bem familia, tem uma ponte bem linda e tem alguns bichos pelo parque solto amei o lugar",Feita em 2 de julho de 2019,natureza
hcosta4,"Curitiba, PR","Lindo parque, um dos melhores de Curitiba.",Feita em 30 de junho de 2019,Ótimo para uma caminhada
rachelsamhan,"Ribeirão Preto, SP","O parque é muito bonito e organizado, com uma pista com ciclovia enorme. Fomos num feriado, estava cheio de famílias e pessoas desfrutando. Certamente recomendo!",Feita em 28 de junho de 2019,Parque maravilhoso
Victor Souza,"Itamaraju, BA","Eu não sei por qual motivo esse parque não estava no meu roteiro. Fui visitar o Museu do Automóvel e resolvi dar uma passada nele. Ainda bem que fiz isso, pois foi uma experiência muito gostosa.",Feita em 27 de junho de 2019,Incrivelmente lindo
Fabio Luiz Furtado,"Chapecó, SC","Maior e mais tradicional parque da cidade, muito espaço, otimo para esportes, corridas, bicicleta, ver animais como cisnes, patos e capivaras. Estacionamento, quadras, churrasqueiras. Com certeza vale a visita.",Feita em 27 de junho de 2019,Tradicional
Elmar de Oliveira,"Brasília, DF","Frequentar o conhecer o Parque Barigui é desfrutar de um espaço maravilhoso, limpo e bem conservado, principalmente se tivermos à mão uma bike... fora isso, outras alternativas se apresentam, pois a pé, de carro, bike ou qualquer coisa, vale muito a pena passear por lá.",Feita em 27 de junho de 2019,CONSTATAÇÃO
Janaina Mello,"Caçapava, SP","O parque é bem grande, com estruturas bem organizadas, barzinhos e lanchonetes beirando o parque.",Feita em 25 de junho de 2019,Bom e bonito.
AnaCCK,"Blumenau, SC","Otimo para alugar bicicleta, caminhar e fazer exercicios. Um otimo parque em Curitiba, mas...  achei um pouco mal cuidado, esperava uma vegetação mais bem cuidada. Banheiro pago a parte (R$ 2,00) e mesmo assim péssimo.",Feita em 24 de junho de 2019,Bom
Ivana S,"Joinville, SC","Limpo, conservado, com gente bonita, cultura do verde e de preservação. Excelente lugar para uma caminhada.",Feita em 24 de junho de 2019,Parque mais lindo que conheço
Thiagodsales,"Campos do Jordão, SP","Um parque muito bem cuidado, limpo e com áreas específicas para ciclistas e corredores. ",Feita em 23 de junho de 2019,Muito bem cuidado.
Mario Ayres,"São Paulo, SP","Também organizado, bonito, ótimo para todas as idades. Possui pistas demarcadas para correr, andar, pedalar ... enfim, cada um faz sua atividade de forma tranquila. ",Feita em 23 de junho de 2019,Parque imenso
camilabs88,"Morro Agudo, SP","O parque é enorme.  As pessoas utilizam para caminhar, corree, andar de bike. Tem um restaurante para apreciar o pôr do sol com um lago muito lindo. Embora não tenha myita atividade, o parque é li do.",Feita em 23 de junho de 2019,Parque enorme
Yuriblanco,"Vitória, ES","Tem um clima muito bucólico e um gramado maravilhoso. Tem as capivaras, os pássaros, o lago... Ótimo local para passar uma tarde sem pressa nenhuma. Leve uma toalha para forrar o chão e aproveite.",Feita em 22 de junho de 2019,Ótima opção gratuita
Pedro Z,"Curitiba, PR","Estar no parque barigui vai elevar sua alto estima, pois estará em contato com a natureza. certamente ira retornar e indicar, a beleza , conservação e limpeza do local surpreendem.",Feita em 19 de junho de 2019,lazer e felicidade
Valderes Maria M,"Curitiba, PR","Sim! Passeie no parque, veja as capivaras e no final da tarde saboreie no Bar do Lago, a melhor polenta frita no bom estilo italiano. E tudo isso apreciando um lindo céu de por do sol.",Feita em 16 de junho de 2019,A melhor polenta frita no Bar do Lago
Haline Rodrigues,"Blumenau, SC","Amei o parque, é muito grande, limpo e aceita cães. Vale muito a pena conhecer e dar a volta ao redor, super recomendado.",Feita em 15 de junho de 2019,Passeio com cachorro
Silvio e Rô,"Curitiba, PR","Não pode deixar de conhecer o Parque Barigui, um dos melhores parques de Curitiba, Caminhada , alugar um bicicleta ou patinete para conhecer melhor .",Feita em 15 de junho de 2019,Otima opção de passeio
F B,"Aracaju, SE","Vale a pena passear por esse parque e alugar uma bicicleta normal ou elétrica, patinete elétrico ou simplesmente caminhar a admirar. Preferimos a bicicleta elétrica. Adoramos. ",Feita em 14 de junho de 2019,Cântaro com a natureza 
Luis Lopez,10 contribuições,"Local formidável para uma caminhada, corrida ou mesmo reflexão. Ar puro, no meio da cidade, sem a perturbação de transito ou poluição. Muito verde e natureza viva presente, proporcionando momentos de paz e confraternização, podendo ser individual ou em grupo. Sem contar com o lado romântico, que poderá ser compartilhado pelos casais.",Feita em 4 de junho de 2019,Relaxamento espiritual e natureza viva
marciaper03,Curitiba,"Melhor Parque para caminhar em Curitiba, porém evite sábado e domingo a tarde pois fica cheio. No Bar do Lago vc relaxa, com ótimos petiscos e cerveja gelada. Parque  ideal para crianças com patins, animais com focinheira ou menores, para bike ou para correr, super recomendo. ",Feita em 4 de junho de 2019,Parque para Caminhar em Curitiba-Pr
GisleneOk,"Curitiba, PR","Parque grande, bonito, bem cuidado, com um lago maravilhoso. Ideal para uma boa caminhada, pedaladas, corridas, passeio com crianças... Ótima diversão junto à natureza. Sem falar nas feiras que sempre acontecem no pavilhão do parque. Recomendo!",Feita em 2 de junho de 2019,Ótima opção de lazer
Janaína Rech,6 contribuições,"É um local que possui diversas atividades, e atrai públicos diversificados, pois possui áreas de caminhada, de estar, de atividades físicas. Para quem é turista, não pode ir a Curitiba e não conhecê-lo, é um local muito agradável de estar!",Feita em 26 de maio de 2019,Parque com uma linda paisagem natural
IvoneSoares,"Jaboticabal, SP",Agradeço a Deus pela criação e a prefeitura de Curitiba pela conservação. Lindo parque com gramado impecável a área verde que enche os olhos de beleza e os pulmões de ar puro.,Feita em 25 de maio de 2019,O gramado é um tapete verde felpudo
Tatiane B,"Contagem, MG","Otimo lugar para andar, pedalar, correr, pelas trilhas do parque. Possivel locar as bicicletas e patinete utilizando aplicativo. Usar repelente, pois no parque há muuitas muriçoca",Feita em 20 de maio de 2019,"Andar, pedalar"
Antonio Carlos L,"Santos, SP","Assim como os demais parques de Curitiba muito organizados e limpos , bom para caminhadas , bicicleta etc .",Feita em 17 de maio de 2019,Muito limpo 
Robson M,"Jacareí, SP","Um parque maravilhoso, um lago lindo, muito espaço pra quem quer passear, curtir a natureza, ou se exercitar. ",Feita em 14 de maio de 2019,Parque muito lindo
Crismax2019,"São Paulo, SP","Um ótimo parque , limpo bonito , organizado e com estacionamento gratuito !! Com diversas opções de alimentação e com muita segurança para todos ",Feita em 14 de maio de 2019,Excelente escolha !!!
Vera Izabel P,16 contribuições,Um parque no coração da cidade...com um lago lindo e muitas exposiçoes e feiras. O lugar é bem cuidado e super frequentado nos finais de semana. Convida para uma boa caminhada !,Feita em 14 de maio de 2019,Lugar muito agradável para passear com amigos e família!
Arthur Sampaio,"Teresina, PI",Fui com 5 amigos.,Feita em 12 de maio de 2019,Melhor parque de Curitiba
carlos.kovaleski,"Curitiba, Brazil",Barigui é um dos maiores parques urbanos do mundo.,Feita em 8 de maio de 2019,Parque urbano gigante
Alexandre Peixer,"Curitiba, PR","Um local muito bem preservado em com suas arvores e lago, com uma pista de caminhada, sem buracos ou obstáculos.",Feita em 8 de maio de 2019,Muito bom para longas caminhadas
Guilherme R,73 contribuições,"Lugar bom para caminhar e praticar exercícios, uma bela paisagem da cidade é vista de lá, com um pôr-do-sol muito bonito, mas esperava uma maior exuberância do parque. Há bicicletas e patinetes da Yellow (você consegue usar através de aplicativo, o uso é pago), mas são super concorridos.",Feita em 7 de maio de 2019,Agradável 
DeboraHRibeiro,"Francisco Alves, PR","Parque limpo, bem organizado, muita área verde, lago com gansos e capivaras, estacionamento amplo. Gostamos bastante!",Feita em 6 de maio de 2019,Lindo!
lfmazzarot2,"Curitiba, PR","Local mais agradável em Curitiba para se caminhar em contato com a natureza. O problema é que em dias quentes e agradáveis,  e em finais de semana e feriados,  fica cheio e quase impossível de andar.",Feita em 1 de maio de 2019,Local para caminhada 
victor,76 contribuições,"Sem dúvida nenhuma, a cidade de Curitiba oferece múltiplas opções de parques para visitação de turistas e para os moradores da região.",Feita em 29 de abril de 2019,VISITA CURITIBA
César Augusto,"João Monlevade, MG","O parque é muito bonito, com um ótimo espaço para caminhar, correr, andar de bike e levar as crianças para brincar. Fui em um domingo e estava cheio de famílias com crianças se divertindo num clima muito agradável. Recomendo uma passada por lá.",Feita em 27 de abril de 2019,Bom para pratica esportiva
Paulo Fernando M,"Rio de Janeiro, RJ","O lugar e bonito, mas é uma atração que eu diria mais voltada para o público local do que para visitantes. E passar e olhar. ",Feita em 23 de abril de 2019,Ok 
Ana Paula A,"Curitiba, PR",Eu e meu esposo temos o hábito de fazer caminhadas no parque pela manhã aos finais de semana. Para mim existem parques melhores que o Barigui. Achei alguns pontos do parque feio e mal cuidado.,Feita em 21 de abril de 2019,Nada demais.
toledorachel,"Blumenau, SC","O parque é GIGANTE e soube que é o preferido dos curitibanos. Tem pista para caminhar / correr, tem lugar para fazer churrasco, um lago enorme, capivaras... Ah! E dá para pegar bicicletas / patinetes da Yellow ou Grin. Nem consegui explorar o parque todo, mas curti pra caramba. ",Feita em 21 de abril de 2019,Gigantesco!
Renata R,"São Paulo, São Paulo, Brazil","Parque bonito e bem cuidado. O parque é bem plano, então é ótimo para andar de bike, patins, patinete, etc. Ponto negativo é que o asfalto da ciclovia está bem detonado, para bike não faz muita diferença, mas para quem anda de patins é muito ruim e impossível andar de skate sem se acidentar.",Feita em 21 de abril de 2019,Muito bem cuidado
Tatiana Oliveira,"Palhoça, SC","Para famílias que gostam de caminhar, jogar bola, fazer piqueniques, andar de bike, skate, o parque é lindo. Como viemos pela terceira vez, ficamos pouco tempo, apenas para admirar a estrutura de lazer para os curitibanos. ",Feita em 20 de abril de 2019,Curtir em família 
prysky,"Florianópolis, SC","O parque barigui é sem duvida o mais eclético da cidade, com varias opções inclusive com churrasqueiras para fazer uma carne. Leve sua cadeira ou canga para ficar um tempo sentado na grama.",Feita em 20 de abril de 2019,O maior da cidade 
duiscaro,"Jundiahy, São Paulo, Brazil","É um parque bonito, muito frequentado pelos moradores. Não é dos meus preferidos, mas vale a pena conhecer. Tem bastante espaço para corrida, caminhada, para as crianças brincarem.",Feita em 18 de abril de 2019,Parque bonito
Luiz N,"Curitiba, PR","Lugar incrível, lindo, limpo, maravilhoso e gigantesco, super recomendo, principalmente se for levar crianças.",Feita em 18 de abril de 2019,Lugar incrível!
Eliana O,"São Paulo, SP","O parque é muito bonito, fomos em família com crianças e quase fomos assaltados por dois meliantes que nos seguiram no parque enquanto tomávamos sorvete.",Feita em 16 de abril de 2019,Quase fomos assaltados
adriana m,36 contribuições,"Os cadeirantes agradecem! Um parque muito amplo com boas rampas de acesso que ajudam ao lazer daqueles que precisam de acessibildade. Tudo lindo e limpo. A admnistracao está de parabens! Poderiam ter mais patinetes, já que vi somente bicletas da Yellow",Feita em 16 de abril de 2019,Muita acessibilidade
Festival,8 contribuições,"O Parque Barigui é ótimo para quem quer passar o dia fazendo caminhadas, almoçando no restaurante ou lanchonetes, mas se voce gosta de fazer um piquenique, não vai encontrar lugar melhor. Ar fresco, Briza e uma lagoa enorme",Feita em 15 de abril de 2019,"Parque Barigui - Restaurante , Bosque , Melhores caminhas"
Rodrigo F,"Macapá, AP",Muito bonito e bem cuidado. Ótimo para conhecer no finalzinho da tarde para um passeio a beira do lago.,Feita em 15 de abril de 2019,Bonito
Melissa,"Curitiba, PR","Um parque bonito, bom para caminhar, andar de bicicleta, tem local que recebe exposições, muitas opções de alimentação, banheiros. Ainda assim, poderia ser mais bem cuidado.",Feita em 14 de abril de 2019,O parque mais badalado da cidade
caealmeida,"Curitiba, PR","O parque Barigui é o mais famoso da cidade de Curitiba, muito bonito, extenso, com grande área verde! Muito bom!",Feita em 14 de abril de 2019,Parque mais famoso da cidade
Flavio Bindo,"Curitiba, PR","Um parque muito versátil. Pode correr, andar, pedalar, entre outras atividades. Piqueniques e paradas para lanches são bem-vindos. Encontrará pessoas de todas as “belezas”. ",Feita em 14 de abril de 2019,Pedalada inter parques
Licianefigue,"Itapema, SC","Um dos maiores parques de Curitiba , com várias opções de lazer só uma volta e torno do lago , sendo com caminhada, corrida ou bicicleta já é maravilhoso, mas tem muito mais opções de lazer no parque  como a maioria dos parques de Curitiba é um local bem movimentado no qual é frequentado por todas as tribos.",Feita em 13 de abril de 2019,Várias opções de lazer
Mauro M,"Curitiba, PR","O Barigui, de uma forma ou de outra, faz parte da alma curitibana. Todos têm seus parques mais amados mas, o Barigui, sempre desponta como um dos favoritos ... tem de tudo para se divertir e se exercitar.",Feita em 12 de abril de 2019,Parque que é a praia do curitibano
Adriananakamura,"Curitiba, PR","Um ótimo parque para exercitar, relaxar, passear... Lindo, lugar super good vibes! Meu parque preferido de Curitiba!!! Tem um restaurante (Maggiore) que serve uma feijoada com comida mineira aos sábados que é a coisa mais gostosa do mundo!!!",Feita em 10 de abril de 2019,Meu parque preferido de Curitiba
FS11F,"Novo Hamburgo, RS","Parque amplo de Curitiba, ideal para caminhadas, corrida e passeios de bicicleta. Há um lago que serve de espelho para os prédios da cidade. ",Feita em 9 de abril de 2019,Parque ao lado da cidade 
samaracoelho,"Matão, SP","O parque e enorme para quem quer caminhar e correr vale a pena o legal e que vc tem várias opcoes para parar o carro sem custo o ruim e que nao tem lugar para comer,vi so um bar muito ruim e o banheiro estava bem largado e sujo",Feita em 9 de abril de 2019,Bonito
Isabela F,"Rio de Janeiro, RJ","Ok o parque é enorme , tem lago, pista para exercícios e só. Zero entretenimento . Zero infra para comer e beber ... nem",Feita em 7 de abril de 2019,Grande e só
maurocesargrande,"Curitiba, PR","Local tranquilo, bem frequentado e bem policiado. Bom para caminhar a pe ou de bicicleta. Trilhas ecologicas por todo o parque. Enche bem aos finais de semana. Tem bikes para alugar, restaurante, parque de exposições. Lugar bem descolado.",Feita em 7 de abril de 2019,Maior Parque da cidade
Raphael M,"Pinhais, PR","Parque um dos mais conhecidos de Curitiba, Otimo para caminha dias de semana. Finais de semana é para descontrair, pois é sempre cheio. Legal que tem comercio por perto qoue facilita em alguma necessidade. ",Feita em 5 de abril de 2019,Execelente
